CUSTOMER_ID,CUSTOMER_NAME,EMAIL,PHONE_NUMBER,STREET,CITY,COUNTRY,POST_CODE,LOYALTY_CARD,ORDER_ID,ORDER_DATE,PRODUCT_ID,QUANTITY,COFFEE_TYPE,ROAST_TYPE,SIZE,UNIT_PRICE,PRICE_PER_100G,PROFIT
17670-51384-MA,Aloisia Allner,aallner0@lulu.com,+1 (862) 817-0124,57999 Pepper Wood Alley,Paterson,United States,7505,Yes,QEV-37451-860,9/5/2019,R-M-1,2,Rob,M,1,9.95,0.995,0.597
17670-51384-MA,Aloisia Allner,aallner0@lulu.com,+1 (862) 817-0124,57999 Pepper Wood Alley,Paterson,United States,7505,Yes,QEV-37451-860,9/5/2019,E-M-0.5,5,Exc,M,0.5,8.25,1.65,0.9075
21125-22134-PX,Jami Redholes,jredholes2@tmall.com,+1 (210) 986-6806,5214 Bartillon Park,San Antonio,United States,78205,Yes,FAA-43335-268,6/17/2021,A-L-1,1,Ara,L,1,12.95,1.295,1.1655
23806-46781-OU,Christoffer O' Shea,,+353 (698) 362-9201,38980 Manitowish Junction,Cill Airne,Ireland,N41,No,KAC-83089-793,7/15/2021,E-M-1,2,Exc,M,1,13.75,1.375,1.5125
23806-46781-OU,Christoffer O' Shea,,+353 (698) 362-9201,38980 Manitowish Junction,Cill Airne,Ireland,N41,No,KAC-83089-793,7/15/2021,R-L-2.5,2,Rob,L,2.5,27.485,1.0994,1.6491
86561-91660-RB,Beryle Cottier,,+1 (570) 289-7473,2651 Stoughton Place,Scranton,United States,18505,No,CVP-18956-553,8/4/2021,L-D-1,3,Lib,D,1,12.95,1.295,1.6835
65223-29612-CB,Shaylynn Lobe,slobe6@nifty.com,+1 (937) 954-4541,7005 Mariners Cove Place,Dayton,United States,45440,Yes,IPP-31994-879,1/21/2022,E-D-0.5,3,Exc,D,0.5,7.29,1.458,0.8019
21134-81676-FR,Melvin Wharfe,,+353 (507) 574-3034,7 Straubel Road,Kill,Ireland,P24,Yes,SNZ-65340-705,5/20/2022,L-L-0.2,1,Lib,L,0.2,4.755,2.3775,0.61815
03396-68805-ZC,Guthrey Petracci,gpetracci8@livejournal.com,+1 (310) 868-1842,949 Paget Parkway,Los Angeles,United States,90045,No,EZT-46571-659,1/2/2019,R-M-0.5,3,Rob,M,0.5,5.97,1.194,0.3582
61021-27840-ZN,Rodger Raven,rraven9@ed.gov,+1 (213) 263-0288,1 Reinke Avenue,Los Angeles,United States,90065,No,NWQ-70061-912,9/5/2019,R-M-0.5,1,Rob,M,0.5,5.97,1.194,0.3582
